English Terms,中文术语,中文定义,
Best Efforts,尽力推销,承销商就担任发行公司及投资者之间代理人的承销协议,
Best Execution,最佳执行,证券经纪商对一项订单进行最有利执行的责任,
Best Practice,最佳做法/最佳惯例,是一个管理学概念，认为存在某种技术、方法、过程、活动或机制以使生产或管理实践的结果达到最优，并减少田错的可能性。,
Best Price Rule,最佳价格规则,一项美国证监会的规则，规定要约出售股票收取的款项必须相等及维持相同的对价,
Beta (Coefficient),贝塔系数,评估一种证券系统性风险的工具，用以量度一种证券或一个投资证券组合相对总体市场的波动性。贝塔系数利用回归的方法计算。贝塔系数1即证券的价格与市场一同变动。贝塔系数高于1即证券价格比总体市场更波动。贝塔系数低于1即证券价格的波动性比市场为低,
Bid-Ask Spread,买卖差价,叫价高于出价的金额,
Bid Price,买方出价,买方愿意买入一种证券的价格 ,
Black Knight,黑武士,对目标公司提出恶意收购的公司,
Black Monday,黑色星期一,金融历史上黑暗的一天(1987年10月19日)。道琼斯指数下跌508点，相等于接近22%，是纽约股票交易所史上单日跌幅最大的一天,
Black Thursday,黑色星期四,指1929年10月24日星期四，纽约股票交易所当天大幅下挫，触发1930年代的大衰退,
Block Trade,大宗交易,出售或买入大量证券,
Blue Chip,蓝筹,知名、财务稳健、证实不论市场好坏，仍有能力支付股息的公司发行的证券,
Board Lot,单位数量，整份股,交易股票的标准数量，一般为100股,
Board Of Directors,董事会,股东选出负责制定企业管理政策的人士。董事会负责对主要公司事宜作出决策，并控制向股东派发股息的时间,
Bond Anticipation Note (BAN),预期债券票据,在预期将执行较大型债券发行的情况发行的短期附利息证券,
Bond Equivalent Yield (BEY),债券等值收益,计算每半年、每季度、每月支付利息的折让债券的年度收益率。面值1000元的定息证券的计算方法如下：,
Bond Fund,债券基金,以稳定收入及风险最小化为投资目标的共同基金，主要投资有收入的金融工具，包括企业、政府或市政债券,
Bond Option,债券期权,与股票期权相同，唯一分别在于相关资产为债券而不是股票,
Bond Rating,债券评级,对债券发行人违约可能性的评估。评估根据发行人的财务状况及利润潜力。提供债券评级服务的机构包括标准普尔(Standard & Poor's)、穆迪投资者服务(Moody's Investors Service) 以及Fitch投资者服务 (Fitch Investors Service),
Bond Swap,债券互换,一种投资策略，投资者出售一种债券，同时利用出售的收益买入另一种债券,
Book Building,需求建档,根据机构投资者对首次公开上市的实际需求制定发行价格的过程,
Book Runner,账簿管理人,管理一项新发行出售证券帐簿的主承销商,
Book Value,账面价值,帐面价值是公司股票按照其公司会计记录所反映出的价值。它通常是从资产中扣除一切负债，然后除以公司股份总数来计算的，其具体计算方法为：首先用公司的资本额加上法定公基金、资本公基金、特别公基金和累积盈余，减去累积亏损额，计算出公司股票的总帐面价值。然后再将总帐面价值除以公司发行股份总数，即可计算出股票的帐面价值。,
Book Value Per Common,每普通股账面价值,一家企业的普通股股东用来评估在偿还所有债务后股票安全度的标准,
Break Even Point (BEP),收支平衡点,又称零利润点、保本点、盈亏临界点、损益分歧点、收益转折点。通常是指全部销售收入 等于全部成本时（销售收入线与总成本线的交点）的产量。以盈亏平衡点的界限，当销售收入高于盈亏平衡点时企业盈利，反之，企业就亏损。盈亏平衡点可以用销售量来表示，即盈亏平衡点的销售量；也可以用销售额来表示，即盈亏平衡点的销售额。,
Bridge financing,过渡融资,企业在进行首次公开上市前采用的一种融资方法，以取得足够的资金，维持营运,
Bridge loan,过渡贷款,一名人士或一家公司在获得永久融资前采用的短期贷款,
Broad-Based Weighted Average,广泛基础加权平均,一种在企业进行后续发行时保护现有优先股股东的反摊薄条款。广泛基础加权平均条款适用于所有以往发行的股票及当时进行的发行,
Broad-Base Index,广泛基础指数,用以反映总体市场活动的指数,
Bubble,市场泡沫,价格升跌急剧的投机性市场或股票,
Budget,预算案,对机构在特定时期内收入及开支的预测,
BUGS Index,无对冲黄金股票指数,是美国股票交易所的一个指数，包含没有对一年半后黄金产量进行对冲的黄金公司,
Bulge Bracket,表现最佳承销商,在承销团中出售最多股票的机构,
Bull,乐观投资者,认为总体市场或个别证券或行业股票的股价将上升的投资者,
Bull Vertical Spread ,看涨的纵向多空套做,看涨投资者的投资策略，投资者认为某商品的市价将上升，但希望控制预测错误造成损失的可能性,
Bulldog Bond,猛犬债券,由非英国企业在伦敦发行的英镑债券,
Bullet Bond,期末一次性偿还债券,定期支付息票的债务工具，在到期日一次性偿还本金,
Bullet Loan,期末一次性偿还贷款,在期末一次性偿还的贷款，预期贷款需要进行再融资以应付一次性偿还,
Bullet Repayment,一次性偿还,在到期时偿还全数贷款的一次性付款,
Bullet Trade,子弹式交易,买入_郊?出售期权，买方因此可卖空相关股份，从而可以在熊市里无需等待股价回升而获利,
Bull Market,牛市,一组证券的价格上升或预期会上升的市场状况,
Bull Spread,看涨的多空套做,一种在相关证券价格上升时可获得最大利润的期权策略。买入或出售期权都可以采用这个策略。方法为买入行使价格较低的期权，卖出行使价格较高的期权，两者的到期日一样。,
Burn Rate,资金消耗率,一家新公司在赚取营运现金流前消耗创业资金支付日常开支的比率。换言之，是量度负现金流的指标,
Business to Business (B2B),商业对商业(B2B),两家公司进行的交易，而不是一家公司与个别消费者之间的交易,
Buy,买入,建议买入个别证券,
Buy And Hold,买入并持有,买入及长期持有证券的投资策略，其间不论市场如何波动仍继续持有,
Buying Power,购买力,投资者持有可以用作购买证券的资金。对于保证金帐户，购买力相等于证券帐户内的现金+最高保证金,
Buyout,收购,入一家公司或一家公司的控股股权。负债收购指通过借贷或发行更多股票完成收购,
Buy Back,回购,是指上市公司利用现金等方式，从股票市场上购回该公司发行在外的一定数额的股票的行为。,
Buy-In,补偿买进,投资者需要重新购买股票，因为卖方不能准时送交证券，甚至完全没有送交证券,
Buy-Side,买方,共同基金、养老基金、保险公司等可能买入大量证券的投资机构,
Buyer's Market,买方市场,市场供应庞大的市场状况,
Buying Hedge ,买入对冲,商品投资者就期货合约牵涉商品价格上升进行对冲的交易,
CD,存款证,持有人可收取利息的存款证书。存款证设有到期日、固定利率，并可以用任何货币计价。存款证一般由商业银行发行,
CEDEL,CEDEL,欧洲市场证券两家结算行之一,
CEO ,首席行政官,负责管理整家公司活动的高级管理人员,
CFA,注册财务分析师,投资管理及研究协会(Assoication for Investment Management and Research) 颁发的专业称号，用以证实财务分析员的实力及诚信。应考生必须通过三级考试，考核的范围包括会计、经济学、道德、货币管理及证券分析,
CFO ,首席财务官,负责管理整家公司财务活动的高级管理人员，职责包括签署支票、监督现金流及财务规划,
COGS,已售商品成本,一家公司赚取收入的产品或货品的成本。有时称为销售成本,
COO,首席营运官,公司的高级管理人员，直接隶属首席执行官，负责管理公司的日常运作,
CPA,注册公共会计师,美国注册公开会计师协会(American Institute of Certified Public Accountants) 颁发的专业称号，应考生必须通过一次考试，并符合工作经验要求,
CPI,消费物价指数,衡量消费货品及服务的价格变动，例如汽油、食品、汽车等,
Calendar Year,日历年,1月1日开始12月31日结束的一年,
Call,买入期权,一种期权合约，给与持有人以特定的价格在特定的时间内购买特定数量相关证券的权力(但并非义务),
Call Date,买回日期,债券可在到期前赎回的日期。若发行人认为进行再融资是有利的做法，可在这天以债券的面值或以相对面值有轻微溢价的价值赎回债券,
Call Loan,短期同业拆借，通知贷款,向证券经纪行借出贷款，用来作为保证金帐户的资金。同业拆借的利率每日计算，最终利率成为同业拆借利率,
Call Loan Rate,短期同业拆借利率，通知贷款利率,有担保同业拆借的短期利率，一般适用于保证金帐户,
Call Option,买入期权,一种协议，给与投资者以特定的价格在特定的时间内购买一种股票、债券、商品或其他金融工具的权力(但并非义务),
Call Premium,买回溢价,高于可转换债券及债券面值的金额。在发行人根据非强制性买回条款买回证券时向持有人支付。,
Call Warrant,买入认股权证,给与持有人以协议价格在特定日期或在特定日期前买入相关股份的认股权证,
Callable Bond,可买回债券,发行人可在到期前赎回的债券。一般在赎回时需要向债券持有人支付溢价,
Callable Preferred Stock,可买回优先股,一种优先股，给与发行人以特定价格买回并赎回优先股的权力,
CAMELS Rating System,CAMELS评级制度,国际通用银行评级制度，银行监察机构根据六个因素评定金融机构的登记。CAMELS代表六个评级因素，包括资本充足 (capital adequacy)、资产质量 (asset quality)、管理质素 (management quality)、盈利(earnings)、流动资金(liquidity)、对市场风险的敏感度(sensitivity to market risk),
Capital,资本/资本金,是指企业在工商行政管理部门登记的注册资金。”我国现行《公司法》实行认缴资本制，即实缴资本与注册资金不一致的原则。资本金在不同类型的企业中的表现形式有所不同。股份有限公司的资本金被称为股本，股份有限公司以外的一般企业的资本金被称为实收资本。,
Capital Account,资本帐户,流入及流出一个国家公共及私人国际性投资的净额,
Capital Adequacy Ratio (CAR) ,资本充足率,评估银行资本的标准，以银行的风险调整信贷风险的百分比表达,
Capital Appreciation,资本升值,资产市值上升,
Capital Asset,资本资产,并非在正常业务过程中买入或出售的长期资产,
Capital Asset Pricing Model (CAPM),资本资产计价模型,用以说明风险与预期回报之间关系的模型， 可用作为有风险证券定价。资本资产定价模型的理论为证券或投资组合的预期回报相等于无风险证券的回报率+风险溢价。若预期回报不能达到或超越要求回报，则不应进行这项投资,
Capital Base,资本金基础,公司首次公开上市或后续股票发行获取的资金，加上保留盈利 投资者对投资组合投入的初步投资以及后续投资,
Capital Budgeting,资本预算,"又称建设性预算或投资预算,是指企业为了今后更好的发展,获取更大的报酬而作出的资本支出计划。",
Capital Employed,运用资本,亦称“营运资金”。企业流动资产减流动负债后的余额。其来源有：加计折旧费用和其他摊销数后的企业净收益，出售固定资产和发行债券、股票等的收入。,
Capital Expenditure,资本开支,公司用以买入或升级实物资产，例如物业、厂房或设备等的资金,
Capital Gain,资本收益,资本资产(投资或房地产)价值的上升，令其价值高于买入价格。这项收益在出售有关资产时才能实现。资本收益可能是短期的(一年或以下)或长期(一年以上)，并且必须支付所得税,
Capital Goods,资本财货,企业用来生产产品的任何货品,
Capital Guarantee Fund,资本保证基金,金融机构提供的投资工具，保证投资者的初步资本投资不会有损失,
Capital Intensive,资本密集,需要大量财务资源生产个别货品的生产过程或行业,
Capital Loss,资本损失,资本资产(投资或房地产)价值下跌造成的损失。这项损失在出售有关资产，而资产的价值低于购买价格时才会实现,
Capital Lease,资本化租赁,具备资产拥有权经济特点的租赁安排,
Capital Markets,资本市场,股票或债券等资本进行交易的市场,
Capital Note,资本票据,企业发行作为短期债务来源的定息工具,
Capitalism,资本主义,鼓励私人投资及业务，而不是由政府控制经济的经济体系,
Capitalize ,资本化,通过将开支纪入长期资产项下延迟开支入账的会计方法,
Capped Option,有上限期权,设有预定利润上限的期权。有上限期权在相关证券的价格相等于或高于(对买入期权而言)或相等于或低于(出售期权)期权上限价格时即会自动被行使,
Captive Fund,专属基金,只向持股机构提供投资服务的基金,
Carrying Cost Of Inventory,库存置存成本,公司在仓库维持库存的成本,
Carrying Value,账面现行价值,也称为_嗣婕壑?，相等于总资产 - 无形资产及负债(例如债务),
Carveout,分拆上市,指一个母公司通过将其在子公司中所拥有的股份，按比例分配给现有母公司的股东，从而在法律上和组织上将子公司的经营从母公司的经营中分离出去。,
Cash,现金,可用作交换货品、债权或服务的纸币或硬币。有时包括公司报称可即时转换成为现金的资产,
Cash And Cash Equivalents,现金及现金等价物,资产负债表上的一项，指出公司现金及现金等价物的价值。这些资产属于现金或可即时转换成为现金的资产,
Cash Balance Pension Plan,现金余额养老金计划,员工养老计划的一种。雇主将员工每年新酬的一个既定百分比加利息开支存入参与计划员工的帐户,
Cash Budget,现金预算,一项业务现金流入及流出的预测,
Cash Commodity,现货,指期货合约内包含的实际或实物商品,
Cash Conversion Cycle,资金周转周期,公司出售库存及收到出售这项库存应收账款所需的时间,
Cash Dividend,现金股息,企业向股东支付的现金，一般来自企业的当期盈利或累计利润。所有股息都必须由董事会公布，收取股息者需要缴付税项,
Cash EPS,现金每股盈利,营运现金流除以摊薄后已发行股份,
Cash Flow,现金流,公司在一个时期内产生及使用的现金额，计算方法为将非现金开支(例如折旧)加回税后净利润。现金流可用作公司财务实力的指标,
Cash Flow After Taxes ,税后现金流,公司除税后的现金流，计算方法为在净收入上加回 税款及折旧,
Cash Flow Per Share,每股现金流,营运现金流 - 优先股股息/已发行普通股数量。是公司财务实力的另一个指标,
Cash Flow Return on Investment (CFROI),投资的现金流回报,估值模型，假设股票市场根据现金流，而不是企业表现及盈利设定价格,
Cash Investment,现金投资,短期投资，一般少于90天，可带来利息形式的回报,
Cash on Cash Return,现金的现金回报率,一般运用在房地产交易的回报率，可指出现金投资的现金收入,
Cash Market,现货市场,现货商品市场，与期货合约市场相反,
Cash Price,现金价格,购买及送交现货商品的价格,
Cash Return on Gross Investment - (CROGI),总投资现金回报率,一种衡量财务表现的指标，计算方法为税后总现金流除以总投资额,
Catastrophe Bond,灾难债券,高收益债务工具，一般与保险相关，旨在应付出现天然灾害，例如飓风或地震的资金需要。设有特殊条款，若发行人由于既定天然灾害而蒙受损失，则其还本付息的责任可获延迟，甚至被完全豁免,
Central Bank,中央银行,为国家政府及主要商业银行提供服务的银行,
Certificate,证书,股票的另一个名称，证书其实指代表公司权益的一张文件,
Certificate Of Deposit (CD),存款证,持有人可收取利息的存款证书。存款证设有到期日、固定利率，并可以用任何货币计价。存款证一般由商业银行发行,
Certified Public Accountant,注册公共会计师,美国注册公开会计师协会(American Institute of Certified Public Accountants) 颁发的专业称号，应考生必须通过一次考试，并符合工作经验要求,
Charge Off,出账、销账,被认为不能收回的债务，也称为坏账；减低公司盈利的一次性开支,
Chartered Financial Analyst (CFA),注册财务分析师,投资管理及研究协会(Assoication for Investment Management and Research) 颁发的专业称号，用以证实财务分析员的实力及诚信。应考生必须通过三级考试，考核的范围包括会计、经济学、道德、货币管理及证券分析,
Chief Executive Officer,首席行政官,负责管理整家公司活动的高级管理人员,
Chief Financial Officer,首席财务官,负责管理整家公司财务活动的高级管理人员，职责包括签署支票、监督现金流及财务规划,
